"p1","p2","p3","p4","p5"
0,0,0,0.603,0
0,0,0,0,0
0,0,0,0.001,0
NA,0,0,NA,0
NA,0.26,0,0.077,0.007
0.416,0,0,0.201,0.001
NA,NA,0,NA,NA
0,0,0,0.09,0
NA,0,NA,NA,NA
0.273,0.001,0.006,0.326,0.859
0.322,0,0.552,0.322,0.275
0.047,0.503,0.235,0.408,0.033
0.744,0.003,0.021,0.472,0.054
0.384,0.019,0.022,NA,0.002
0.288,0.248,0.072,NA,0.004
0.124,0.004,0.262,NA,0.077
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
0.562,0.458,0.093,0.597,0.93
0.186,0.71,0.52,0.44,0.066
0.164,0.118,0.899,0.314,0.03
0.876,0.442,0.334,0.443,0.359
0.093,0.762,0.423,0.358,0.008
0.523,0.681,0.001,NA,0.813
0.441,0.886,0.334,0.504,0.01
